Year,Angola,Benin,Burundi,Zimbabwe,Cameroon,Central African Republic,Chad,Comoros,Egypt,Equatorial Guinea,Eritrea,Gabon,Gambia,Ghana,Sierra Leone,Niger,Malawi,Guinea,Ethiopia,Togo,Kenya,Liberia,Libya,Mali,Mauritania,Morocco,Nigeria,Cape Verde,Senegal,Somalia,Burkina,South Africa,South Sudan,Sudan,Tanzania,Algeria,Tunisia,Uganda,Zambia
2014-06-30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,6,0,0,0,0,0,0,12,0,0,0
2014-07-31,0,0,0,0,0,0,1,0,0,9,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014-08-31,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2014-09-30,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11-30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0
2014-12-31,0,0,0,0,2,0,3,0,0,0,0,0,7,0,1,0,0,21,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01-31,0,0,0,0,0,1,8,0,0,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-31,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-31,0,0,0,0,4,0,2,1,0,0,0,0,11,0,3,1,0,26,0,0,0,0,0,0,1,12,0,0,0,0,1,0,0,0,0,0,0,0,0
2015-06-30,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,5,0,10,0,0,1,0,4,0,0,0,0,0,0,0,0
2015-07-31,0,0,0,0,1,0,4,0,0,0,0,0,4,0,0,1,0,17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2015-08-31,0,0,0,0,5,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-30,0,0,0,0,5,0,8,2,0,0,0,0,12,0,2,0,0,57,0,1,0,1,0,5,0,2,2,0,16,0,1,0,0,0,0,0,0,0,0
2015-10-31,0,0,0,0,6,0,7,29,0,0,0,0,14,0,3,1,0,131,0,1,0,2,0,2,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0
2015-11-30,0,0,0,0,0,0,0,2,0,0,0,0,19,0,0,0,0,15,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,1,0,0,0
2015-12-31,0,2,0,0,6,0,5,12,0,0,0,0,11,0,1,0,0,90,0,2,0,0,0,1,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0
2016-01-31,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-31,0,0,0,0,5,1,0,0,0,0,0,0,6,2,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2016-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-31,0,0,0,0,12,0,3,0,0,0,0,0,5,3,0,0,0,31,0,0,0,0,1,0,0,5,0,0,0,0,10,0,0,0,0,1,0,0,0
2016-06-30,0,0,0,0,8,0,0,0,0,0,0,1,2,0,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-31,0,0,0,0,8,0,0,0,0,0,0,0,7,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2016-09-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-30,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,23,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-31,0,0,0,0,7,0,0,0,0,0,0,0,2,1,0,0,0,18,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0
2017-01-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0
2017-02-28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
